rank_nb2,rank_nb1,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_hbd,n_hba,n_rotb,n_rings,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,n_alpha_h,qed,category,ani_energy,elec_proxy,method,conformer_ok,nb2_score
1,86,70620,O=CCCCCC=O,UMHJEEQLYBKSAN-UHFFFAOYSA-N,hexanedial,114.144,0.9446,34.14,0,2,5,0,2,2,2,2,0,2,0.3935377816640176,Dialdehyde (aliphatic),-384.9850769042969,11.949040527901596,ani2x_gasteiger,True,84.45521407344265
2,96,3485,O=CCCCC=O,SXRSQZLOMIGNAQ-UHFFFAOYSA-N,pentanedial,100.117,0.5545,34.14,0,2,4,0,2,2,2,2,0,2,0.381710195438469,Dialdehyde (aliphatic),-345.6828918457031,11.950354805501647,ani2x_gasteiger,True,84.44965464130351
3,18,80473,CC(CC=O)CC=O,LUNMJPAJHJAGIS-UHFFFAOYSA-N,3-methylpentanedial,114.144,0.8005,34.14,0,2,4,0,2,2,2,2,0,2,0.506437220672798,Dialdehyde (aliphatic),-384.986083984375,11.97695941943441,ani2x_gasteiger,True,84.33711635735091
4,121,12524,O=CCCC=O,PCSMJKASWLYICJ-UHFFFAOYSA-N,butanedial,86.08999999999999,0.1644,34.14,0,2,3,0,2,2,2,2,0,2,0.3620014734523953,Dialdehyde (aliphatic),-306.37640380859375,11.991937563259206,ani2x_gasteiger,True,84.27375837714874
5,140,87944034,O=CCCC#CCCC=O,IUTVZUMLXFEOHR-UHFFFAOYSA-N,oct-4-ynedial,138.16599999999997,0.948,34.14,0,2,4,0,2,2,2,2,0,2,0.3290273917173541,Dialdehyde (aliphatic),-461.11273193359375,12.044015271982671,ani2x_gasteiger,True,84.0534681678364
6,3,22174207,O=CCCC(C=O)CC=O,BWBDIVJHFOSTOD-UHFFFAOYSA-N,"butane-1,2,4-tricarbaldehyde",142.15399999999997,0.3695999999999999,51.21,0,3,6,0,3,3,3,3,0,2,0.5032547254129797,Dialdehyde (aliphatic),-498.2797546386719,12.090833424716564,ani2x_gasteiger,True,83.85542603199413
7,20,101171,CC(C=O)CCC=O,IQKPRZPVTQHVOY-UHFFFAOYSA-N,2-methylpentanedial,114.14399999999998,0.8005,34.14,0,2,4,0,2,2,2,2,0,1,0.5064372206727978,Dialdehyde (aliphatic),-384.98779296875,12.090960225048272,ani2x_gasteiger,True,83.85488966293532
8,7,20446369,O=CCC(C=O)CC=O,MGMZJMPWJVWBCE-UHFFFAOYSA-N,"propane-1,2,3-tricarbaldehyde",128.12699999999998,-0.0204999999999999,51.21,0,3,5,0,3,3,3,3,0,2,0.4887200061220095,Dialdehyde (aliphatic),-458.9683837890625,12.128473917357812,ani2x_gasteiger,True,83.69620566293776
9,28,10996971,CC(C=O)CC=O,BQPPGEDHWKAEDR-UHFFFAOYSA-N,2-methylbutanedial,100.117,0.4104,34.14,0,2,3,0,2,2,2,2,0,1,0.4812074437046236,Dialdehyde (aliphatic),-345.68109130859375,12.14549011726832,ani2x_gasteiger,True,83.62422664673542
10,19,91427,CCC(C=O)CC=O,FYQMMABWOLQJEQ-UHFFFAOYSA-N,2-ethylbutanedial,114.14399999999998,0.8005,34.14,0,2,4,0,2,2,2,2,0,1,0.5064372206727978,Dialdehyde (aliphatic),-384.9876403808594,12.159315893961333,ani2x_gasteiger,True,83.56574321272373
11,97,13643743,O=CCCOCCC=O,LMGSCHASJBBXBN-UHFFFAOYSA-N,3-(3-oxopropoxy)propanal,130.14299999999997,0.181,43.370000000000005,0,3,6,0,2,2,2,2,0,2,0.3802768828111005,Dialdehyde (aliphatic),-460.16839599609375,12.178697033286852,ani2x_gasteiger,True,83.48376043461417
12,22,15575778,O=CCC(O)CC=O,UIVALZXFWDRKKE-UHFFFAOYSA-N,3-hydroxypentanedial,116.116,-0.4747,54.370000000000005,1,3,4,0,2,2,2,2,0,2,0.5047967384041225,Dialdehyde (aliphatic),-420.87603759765625,12.208067428861538,ani2x_gasteiger,True,83.3595228145781
13,10,12484446,CCOC(CC=O)CC=O,RMDVUYYLNKBTNC-UHFFFAOYSA-N,3-ethoxypentanedial,144.17,0.5695000000000001,43.370000000000005,0,3,6,0,2,2,2,2,0,2,0.5116979654233935,Dialdehyde (aliphatic),-499.4860534667969,12.209060128734132,ani2x_gasteiger,True,83.35532366549728
14,15,21190979,CC(C)(C=O)CC=O,FAPGBNMXFSUCGA-UHFFFAOYSA-N,"2,2-dimethylbutanedial",114.14399999999998,0.8005,34.14,0,2,3,0,2,2,2,2,0,1,0.5084091858692685,Dialdehyde (aliphatic),-384.991455078125,12.29864499103367,ani2x_gasteiger,True,82.97637711521844
