,rank_nb3,cid,smi_rdkit,iupac,mw,logp,n_aldehyde,n_carbonyl,n_fluorine,n_alpha_h,category,elec_proxy,ani_energy,method_nb2,nb2_score,aff_HER2,aff_PDL1,mean_affinity,final_score_nb3,access_HER2,delta_sasa_HER2,access_PDL1,delta_sasa_PDL1,mean_access,sasa_pass
0,1,87944034,O=CCCC#CCCC=O,oct-4-ynedial,138.16599999999997,0.948,2,2,0,2,Dialdehyde (aliphatic),12.044015271982673,-461.11273193359375,ani2x_gasteiger,84.0534681678364,-4.148,-4.281,-4.214499999999999,35.77594363356728,99.37854193092421,-18.569510400000002,99.35387325733689,-18.569510400000002,99.36620759413054,True
1,2,12484446,CCOC(CC=O)CC=O,3-ethoxypentanedial,144.17,0.5695000000000001,2,2,0,2,Dialdehyde (aliphatic),12.209060128734132,-499.4860534667969,ani2x_gasteiger,83.35532366549728,-3.863,-3.606,-3.7345,33.47631473309946,99.35153648641014,-19.376448,99.32579583624234,-19.376448,99.33866616132624,True
2,3,91427,CCC(C=O)CC=O,2-ethylbutanedial,114.14399999999998,0.8005,2,2,0,1,Dialdehyde (aliphatic),12.159315893961333,-384.9876403808594,ani2x_gasteiger,83.56574321272373,-3.657,-3.763,-3.71,33.408148642544745,99.48659069643338,-15.340953599999999,99.46621100043038,-15.340953599999999,99.47640084843188,True
3,4,85655730,O=CCCC(=O)CCC=O,4-oxoheptanedial,142.154,0.5137,3,3,0,2,Dialdehyde (aliphatic),12.437662163472451,-498.2905883789063,ani2x_gasteiger,82.38833046790596,-3.701,-3.615,-3.658,32.93866609358119,98.56135960879922,-42.9873696,98.50425302030024,-42.9873696,98.53280631454973,True
4,5,22174207,O=CCCC(C=O)CC=O,"butane-1,2,4-tricarbaldehyde",142.15399999999997,0.3695999999999999,3,3,0,2,Dialdehyde (aliphatic),12.090833424716564,-498.2797546386719,ani2x_gasteiger,83.85542603199413,-3.693,-3.492,-3.5925,32.93733520639883,98.56135960879922,-42.987369599999994,98.50425302030024,-42.987369599999994,98.53280631454973,True
5,6,80473,CC(CC=O)CC=O,3-methylpentanedial,114.144,0.8005,2,2,0,2,Dialdehyde (aliphatic),11.97695941943441,-384.986083984375,ani2x_gasteiger,84.33711635735091,-3.576,-3.485,-3.5305,32.75467327147018,99.48659069643338,-15.340953599999999,99.46621100043038,-15.340953599999999,99.47640084843188,True
6,7,101171,CC(C=O)CCC=O,2-methylpentanedial,114.14399999999998,0.8005,2,2,0,1,Dialdehyde (aliphatic),12.090960225048272,-384.98779296875,ani2x_gasteiger,83.85488966293532,-3.383,-3.489,-3.436,32.23297793258706,99.48659069643338,-15.340953599999999,99.46621100043038,-15.340953599999999,99.47640084843188,True
7,8,10953466,CC(=O)CCCC=O,5-oxohexanal,114.144,0.9446,2,2,0,1,Dialdehyde (aliphatic),12.442851820825863,-384.9964904785156,ani2x_gasteiger,82.36637806768204,-3.474,-3.49,-3.482,32.14227561353641,99.48659069643338,-15.340953599999999,99.46621100043038,-15.340953599999999,99.47640084843188,True
8,9,70620,O=CCCCCC=O,hexanedial,114.144,0.9446,2,2,0,2,Dialdehyde (aliphatic),11.949040527901596,-384.9850769042969,ani2x_gasteiger,84.45521407344265,-3.373,-3.401,-3.387,32.13254281468853,99.48659069643338,-15.340953599999999,99.46621100043038,-15.340953599999999,99.47640084843188,True
9,10,21190979,CC(C)(C=O)CC=O,"2,2-dimethylbutanedial",114.14399999999998,0.8005,2,2,0,1,Dialdehyde (aliphatic),12.29864499103367,-384.991455078125,ani2x_gasteiger,82.97637711521844,-3.418,-3.448,-3.433,32.043775423043684,99.48659069643338,-15.340953599999999,99.46621100043038,-15.340953599999999,99.47640084843188,True
