w_docking,w_nb5,w_nb2,rank_CID_87944034,rank_CID_91427,rank_CID_85655730,rank_CID_10953466,rank_CID_21190979,rank_CID_101171,rank_CID_22174207,rank_CID_12484446,rank_CID_80473,rank_CID_70620,rank_Glutaraldehyde,rank_Succinaldehyde,rank_Glyoxal,rank_Formalin_(formaldehy
0.1,0.15,0.75,1.0,2.0,10.0,9.0,7.0,3.0,6.0,11.0,4.0,5.0,8.0,12.0,14.0,13.0
0.1,0.2,0.7,1.0,2.0,10.0,7.0,6.0,3.0,8.0,11.0,4.0,5.0,9.0,12.0,14.0,13.0
0.1,0.25,0.65,2.0,1.0,9.0,4.0,5.0,3.0,8.0,11.0,7.0,6.0,10.0,12.0,14.0,13.0
0.1,0.3,0.6,5.0,1.0,8.0,2.0,4.0,3.0,9.0,12.0,7.0,6.0,10.0,11.0,14.0,13.0
0.1,0.35,0.55,5.0,1.0,6.0,2.0,4.0,3.0,9.0,12.0,8.0,7.0,10.0,11.0,14.0,13.0
0.1,0.4,0.5,6.0,2.0,5.0,1.0,3.0,4.0,9.0,12.0,8.0,7.0,10.0,11.0,14.0,13.0
0.1,0.45,0.45,6.0,2.0,5.0,1.0,3.0,4.0,10.0,13.0,9.0,8.0,11.0,12.0,14.0,7.0
0.1,0.5,0.4,7.0,2.0,6.0,1.0,4.0,5.0,10.0,14.0,9.0,8.0,11.0,13.0,12.0,3.0
0.1,0.55,0.35,8.0,4.0,7.0,2.0,5.0,6.0,11.0,14.0,10.0,9.0,12.0,13.0,3.0,1.0
0.1,0.6,0.3,8.0,4.0,7.0,3.0,5.0,6.0,11.0,14.0,10.0,9.0,12.0,13.0,2.0,1.0
0.1,0.65,0.25,8.0,5.0,7.0,3.0,4.0,6.0,11.0,14.0,10.0,9.0,12.0,13.0,1.0,2.0
0.1,0.7,0.2,9.0,5.0,7.0,3.0,4.0,6.0,11.0,14.0,10.0,8.0,12.0,13.0,1.0,2.0
0.1,0.75,0.15,9.0,5.0,7.0,3.0,4.0,6.0,11.0,14.0,10.0,8.0,12.0,13.0,1.0,2.0
0.15,0.1,0.75,1.0,2.0,10.0,11.0,8.0,5.0,6.0,7.0,3.0,4.0,9.0,12.0,14.0,13.0
0.15,0.15,0.7,1.0,2.0,9.0,8.0,7.0,3.0,6.0,11.0,4.0,5.0,10.0,12.0,14.0,13.0
0.15,0.2,0.65,1.0,2.0,9.0,5.0,6.0,3.0,8.0,11.0,4.0,7.0,10.0,12.0,14.0,13.0
0.15,0.25,0.6,1.0,2.0,8.0,4.0,5.0,3.0,9.0,11.0,6.0,7.0,10.0,12.0,14.0,13.0
